nume_actiune,timestamp
afisare_carti,2022-04-28 17:55:18
afisare_carti_imprumutate,2022-04-28 17:55:44
adaugare_cititor_membru,2022-04-28 17:56:05
adaugare_cititor_guest,2022-04-28 17:56:23
adaugare_autor,2022-04-28 17:57:52
adaugare_editura,2022-04-28 17:58:34
adaugare_carte,2022-04-28 17:59:02
afisare_carti,2022-04-28 18:00:07
returnare_carte,2022-04-28 18:00:47
adaugare_autor,2022-04-28 18:06:05
imprumutare_carte,2022-04-30 17:10:53
imprumutare_carte,2022-04-30 17:12:47
imprumutare_carte,2022-04-30 17:13:43
imprumutare_carte,2022-04-30 17:14:42
imprumutare_carte,2022-04-30 17:15:50
imprumutare_carte,2022-04-30 17:16:53
imprumutare_carte,2022-04-30 17:22:52
imprumutare_carte,2022-04-30 17:23:21
imprumutare_carte,2022-04-30 17:24:31
returnare_carte,2022-04-30 17:32:17
afisare_inventar,2022-04-30 17:33:18
adaugare_editura,2022-05-19 15:21:02
adaugare_editura,2022-05-19 15:22:13
adaugare_editura,2022-05-19 15:23:09
adaugare_editura,2022-05-19 15:25:22
adaugare_editura,2022-05-19 15:26:52
afisare_edituri,2022-05-19 15:46:02
afisare_edituri,2022-05-19 15:46:38
afisare_edituri,2022-05-19 15:47:39
afisare_edituri,2022-05-19 15:59:12
actualizare_editura,2022-05-19 15:59:12
afisare_edituri,2022-05-19 16:20:23
stergere_editura,2022-05-19 16:20:23
stergere_editura,2022-05-19 16:22:19
afisare_edituri,2022-05-19 16:22:46
stergere_editura,2022-05-19 16:22:46
adaugare_editura,2022-05-19 16:23:37
afisare_edituri,2022-05-19 16:29:07
stergere_editura,2022-05-19 16:29:07
adaugare_editura,2022-05-19 16:29:22
afisare_edituri,2022-05-19 16:52:32
afisare_edituri,2022-05-19 19:25:06
afisare_edituri,2022-05-21 10:42:33
adaugare_cititor_membru,2022-05-21 12:25:03
adaugare_cititor_guest,2022-05-21 12:26:40
afisare_cititori,2022-05-21 12:31:56
afisare_cititori,2022-05-21 12:37:27
actualizare_cititor,2022-05-21 12:37:27
afisare_cititori,2022-05-21 12:37:45
actualizare_cititor,2022-05-21 12:37:45
afisare_cititori,2022-05-21 12:49:45
stergere_cititor,2022-05-21 12:49:45
afisare_cititori,2022-05-21 12:56:09
stergere_cititor,2022-05-21 12:56:09
stergere_cititor,2022-05-21 13:50:53
stergere_cititor,2022-05-21 13:52:10
stergere_cititor,2022-05-21 13:57:57
stergere_cititor,2022-05-21 13:59:27
stergere_cititor,2022-05-21 14:00:01
adaugare_autor,2022-05-21 14:07:53
adaugare_autor,2022-05-21 14:13:42
stergere_autor,2022-05-21 14:30:51
adaugare_autor,2022-05-21 15:02:28
adaugare_carte,2022-05-21 15:07:23
adaugare_autor,2022-05-21 15:14:36
adaugare_carte,2022-05-21 15:15:14
adaugare_carte,2022-05-21 15:28:45
afisare_inventar,2022-05-21 15:34:50
adaugare_cititor_membru,2022-05-21 15:43:23
adaugare_cititor_membru,2022-05-21 15:43:43
adaugare_cititor_guest,2022-05-21 15:45:52
adaugare_autor,2022-05-21 15:50:17
adaugare_autor,2022-05-21 15:52:20
adaugare_autor,2022-05-21 15:52:47
adaugare_editura,2022-05-21 15:53:54
adaugare_editura,2022-05-21 15:54:16
adaugare_editura,2022-05-21 15:54:27
adaugare_carte,2022-05-21 15:55:44
afisare_carti,2022-05-21 15:56:46
afisare_inventar,2022-05-21 15:57:35
afisare_carti_autor,2022-05-21 16:01:24
adaugare_carte,2022-05-22 14:18:57
afisare_carti,2022-05-22 14:19:44
afisare_carti_imprumutate,2022-05-22 14:20:33
afisare_inventar,2022-05-22 14:20:43
afisare_carti_autor,2022-05-22 14:21:09
afisare_cititori,2022-05-22 15:01:17
afisare_carti,2022-05-22 15:01:24
imprumutare_carte,2022-05-22 15:01:37
afisare_cititori,2022-05-22 15:03:03
afisare_carti,2022-05-22 15:03:07
imprumutare_carte,2022-05-22 15:03:13
afisare_cititori,2022-05-22 15:03:20
afisare_carti,2022-05-22 15:03:22
imprumutare_carte,2022-05-22 15:03:25
afisare_cititori,2022-05-22 15:03:53
afisare_carti,2022-05-22 15:03:56
imprumutare_carte,2022-05-22 15:04:12
afisare_cititori,2022-05-22 15:05:53
afisare_carti,2022-05-22 15:05:55
imprumutare_carte,2022-05-22 15:05:57
returnare_carte,2022-05-22 15:18:36
afisare_inventar,2022-05-22 15:29:31
afisare_carti_imprumutate,2022-05-22 15:29:57
afisare_carti_autor,2022-05-22 15:30:15
adaugare_cititor_membru,2022-05-22 15:30:38
adaugare_carte,2022-05-22 15:32:17
afisare_carti,2022-05-22 15:33:16
afisare_inventar,2022-05-22 15:33:43
afisare_carti_imprumutate,2022-05-22 15:33:54
afisare_carti_autor,2022-05-22 15:34:09
adaugare_cititor_guest,2022-05-22 15:34:56
returnare_carte,2022-05-22 15:35:42
afisare_cititori,2022-05-22 15:36:05
afisare_carti,2022-05-22 15:36:17
imprumutare_carte,2022-05-22 15:36:21
adaugare_autor,2022-05-22 15:36:40
adaugare_editura,2022-05-22 15:37:05
afisare_edituri,2022-05-22 15:37:32
afisare_edituri,2022-05-22 15:38:12
actualizare_editura,2022-05-22 15:38:12
afisare_edituri,2022-05-22 15:39:05
stergere_editura,2022-05-22 15:39:05
afisare_cititori,2022-05-22 15:39:15
afisare_cititori,2022-05-22 15:39:40
actualizare_cititor,2022-05-22 15:39:40
afisare_cititori,2022-05-22 15:40:03
stergere_cititor,2022-05-22 15:40:03
actualizare_autor,2022-05-22 15:40:27
afisare_carti_imprumutate,2022-05-23 16:36:53
afisare_carti_imprumutate,2022-05-23 16:37:50
adaugare_cititor_membru,2022-05-23 16:41:46
adaugare_autor,2022-05-23 16:42:23
adaugare_carte,2022-05-23 16:43:16
afisare_carti,2022-05-23 16:43:53
afisare_inventar,2022-05-23 16:44:21
afisare_carti_imprumutate,2022-05-23 16:44:40
afisare_carti_autor,2022-05-23 16:45:43
adaugare_cititor_guest,2022-05-23 16:46:15
afisare_cititori,2022-05-23 16:46:49
afisare_carti,2022-05-23 16:46:59
imprumutare_carte,2022-05-23 16:47:09
returnare_carte,2022-05-23 16:47:57
adaugare_editura,2022-05-23 16:48:34
afisare_edituri,2022-05-23 16:48:49
afisare_edituri,2022-05-23 16:49:13
actualizare_editura,2022-05-23 16:49:13
afisare_edituri,2022-05-23 16:49:30
stergere_editura,2022-05-23 16:49:30
afisare_cititori,2022-05-23 16:49:48
afisare_cititori,2022-05-23 16:50:15
actualizare_cititor,2022-05-23 16:50:15
afisare_cititori,2022-05-23 16:50:34
stergere_cititor,2022-05-23 16:50:34
actualizare_autor,2022-05-23 16:51:05
stergere_autor,2022-05-23 16:51:26
